Year,Anomaly
1880,0.07987320199714568
1881,0.19203755367408679
1882,0.12427610120980663
1883,-0.004826410807455203
1884,0.07223115848987066
1885,-0.12617150482606748
1886,-0.04734872218364834
1887,0.03704800647322387
1888,-0.025971982661987324
1889,0.004814652549269154
1890,0.11243297329373746
1891,-0.025919236817359866
1892,0.045862117222970004
1893,0.15669779780252147
1894,-0.09809508265225778
1895,0.0700601371393966
1896,-0.13220932365650806
1897,0.16936042176303684
1898,0.10242975992552379
1899,0.006518492623058675
1900,0.02516008617370047
1901,0.15940661580296994
1902,0.07430513133511814
1903,0.32433089460239
1904,-0.014084805036160414
1905,0.1348088198899294
1906,0.041038666768986196
1907,0.13496658767110978
1908,0.08169484351256216
1909,-0.006114671789708204
1910,0.2258647608901055
1911,-0.11917857245483152
1912,0.16409989924988086
1913,0.3500388605204463
1914,0.04105294843933427
1915,0.16043730253056734
1916,0.21614740288271267
1917,0.016387249780456553
1918,0.3029126734846124
1919,0.2442332083644299
1920,0.2888154286401636
1921,0.32018733214815226
1922,0.2568774041537697
1923,0.3965917929643437
1924,0.04788548436774048
1925,0.1871110563281296
1926,0.22804866527024775
1927,0.19442539720985505
1928,0.2828068350414855
1929,0.267148841835407
1930,0.4069313734775052
1931,0.09305476346733701
1932,0.17431390750500936
1933,0.17343195626643992
1934,0.10685484339848936
1935,0.28034742528504464
1936,0.24417711371245954
1937,0.49348945638064223
1938,0.36859662687098876
1939,0.4981180426187272
1940,0.24063988478333997
1941,0.3852802245538607
1942,0.3596431817555261
1943,0.26490130856941374
1944,0.22251890016381504
1945,0.39428353497833035
1946,0.36778009372108844
1947,0.4560771457844466
1948,0.316554186012772
1949,0.3643971796969746
1950,0.16170560689907781
1951,0.5201095815178909
1952,0.25863551088230796
1953,0.42994513952048335
1954,0.508106286777438
1955,0.4249801671810945
1956,0.5264604931432824
1957,0.44696506535692526
1958,0.4105555298147019
1959,0.5881923834205991
1960,0.1243321936221578
1961,0.36110021961413497
1962,0.3648261181628276
1963,0.6114788233971191
1964,0.3788224707867333
1965,0.5246982855247859
1966,0.4628269543767611
1967,0.260536683419611
1968,0.44650026787465547
1969,0.33745740990148776
1970,0.34813581556329437
1971,0.48007640361333753
1972,0.4302101678500778
1973,0.5200957685734533
1974,0.4163638853583794
1975,0.6005191658647957
1976,0.6325594800035775
1977,0.30750661591288353
1978,0.49947456838336907
1979,0.5222885957725226
1980,0.5465012442413695
1981,0.39971439974880063
1982,0.5118573308320832
1983,0.36421293491678264
1984,0.5414984363878419
1985,0.4645797817302937
1986,0.5461345736846163
1987,0.6458566703673578
1988,0.6829583002828847
1989,0.5162104395230259
1990,0.6113784479108362
1991,0.5249744090419985
1992,0.5542015044939809
1993,0.46276737473053287
1994,0.6155431025924534
1995,0.5965698492084696
1996,0.5445693427208398
1997,0.5482535445980034
1998,0.575816399170182
1999,0.6346317580601621
2000,0.6359179783003344
2001,0.6880841619674837
2002,0.7475990623511207
2003,0.6928035032439831
2004,0.5408120139300803
2005,0.6933040138295299
2006,0.6412178164044897
2007,0.5739439075888259
2008,0.7929825570337123
2009,0.6380741004943482
2010,0.6747041562342336
2011,0.7286597264913036
2012,0.647562130475299
2013,0.7336664832973491
2014,0.7675540042569535
2015,0.6292299531478849
2016,0.6547302972220456
2017,0.6044863338797453
2018,0.7660418836424346
2019,0.6156698630335009
2020,0.6143114920640355
2021,0.934099106506198
2022,0.8069783757312922
2023,0.7099557020735621
2024,0.6863098476910581
